unsorted,http://www.jacsoft.co.nz/Tech_Notes/Mac_Keys.shtml,mac boot keys
unsorted,http://newsvine.mobi,newsvine
unsorted,http://service.nyctmc.org/mobile/,nyc traffic cams
unsorted,http://picasaweb.google.com/m/,picasa
unsorted,http://m.socialight.com,socialight
unsorted,http://m.seek-first.com,seek first
unsorted,http://wubi.org/aslash/,slashdot
unsorted,http://m.30boxes.com,30 boxes
unsorted,http://m.walkertracker.com/,walker tracker
unsorted,http://m.yahoo.com,yahoo
unsorted,http://m.youtube.com,youtube
